id,lon,lat,taxonomy,number
121,13.78944,41.81111,pre1919rota,1
122,13.66333,42.02806,pre1919rota,1
133,13.48889,42.23667,pre1919rota,1
134,13.52278,42.20611,pre1919rota,1
137,13.62444,42.00667,pre1919rota,1
141,13.2075,42.10306,pre1919rota,1
144,13.52417,41.83444,pre1919rota,1
145,13.88278,41.90472,pre1919rota,1
147,13.25583,42.37417,pre1919rota,1
148,13.34278,42.06639,pre1919rota,1
151,13.25167,42.07028,pre1919rota,1
153,13.30194,42.29056,pre1919rota,1
154,13.54056,41.96028,pre1919rota,1
155,13.83722,41.93694,pre1919rota,1
158,13.62556,41.86806,pre1919rota,1
159,13.93556,41.77778,pre1919rota,1
192,13.07944,42.41806,post1981rota,1
195,13.23556,42.19444,post1981rota,1
196,13.05972,42.4075,post1981rota,1
199,13.02306,42.39472,post1981rota,1
204,12.98694,42.32417,post1981rota,1
205,13.12639,42.26611,post1981rota,1
208,12.96694,42.27389,post1981rota,1
209,13.04611,42.2275,post1981rota,1
210,13.05556,42.45222,post1981rota,1
214,13.14611,42.21056,post1981rota,1
215,13.06861,42.29611,post1981rota,1
221,13.02028,42.24056,post1981rota,1
222,13.74194,41.68861,post1981rota,1
223,13.645,41.71167,post1981rota,1
224,13.67861,41.73889,post1981rota,1
225,13.72583,41.62278,post1981rota,1
226,13.7125,41.6325,post1981rota,1
227,13.67611,41.67139,post1981rota,1
228,13.79861,41.66056,post1981rota,1
229,13.65639,41.74972,post1981rota,1
230,13.86722,41.64694,post1981rota,1
231,13.69778,41.69583,post1981rota,1
232,13.81306,41.70917,post1981rota,1
233,13.85028,41.67139,post1981rota,1
234,13.61583,41.71944,post1981rota,1
235,13.71389,41.68278,post1981rota,1
237,13.59139,42.08194,post1981rota,1
239,13.80444,41.99361,post1981rota,1
240,13.4275,42.03528,post1981rota,1
241,13.56139,41.81083,post1981rota,1
245,13.75667,41.92306,post1981rota,1
251,13.41167,41.94111,post1981rota,1
254,13.385,41.96611,post1981rota,1
257,13.28306,42.00667,post1981rota,1
262,13.33528,41.98917,post1981rota,1
265,13.54778,42.08583,post1981rota,1
